,id,name,review_count,rating,phone,display_phone,price,coord_lat,coord_long,is_bakeries,is_desserts,is_icecream,is_cafe,is_donuts,is_cakeshop,is_bubbletea,is_chocolate,is_cupcakes,is_Other,rand_imp_price,knn_imp_price,is_successful,County
1114,N4Pss0mR4ygDOoSRpM2FQA,Culture Espresso,7.0192966537150445,16.0,1,1,2.0,40.7521922375529,-73.985756306206,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
1115,S1kVE60CFbA9xWjxqU3V_A,Gregorys Coffee,5.973809611869261,16.0,1,1,2.0,40.7409656,-73.98557,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
1119,4il02WBqO7fZi2-A9Gk0dw,Gnarly Eats,5.700443573390687,20.25,1,1,2.0,40.66296,-73.98468,0,0,0,0,0,0,0,0,0,1,2.0,2.0,1,Brooklyn
1121,ge6Ua-GlpBW5PSf4pabhpQ,Black Gold Records,4.663439094112067,20.25,1,1,2.0,40.677265,-73.998102,0,0,0,0,0,0,0,0,0,1,2.0,2.0,1,Brooklyn
1122,HjGjGy3JhhRFcR7MaQLrjA,Frisson Espresso,6.78897174299217,20.25,1,1,1.0,40.7608108520508,-73.9889984130859,0,0,0,1,0,0,0,0,0,0,1.0,1.0,1,Manhattan
1124,yBBKdMVbGjSPAgxhDT8zMg,Early,4.804021044733257,20.25,1,1,1.0,40.732151,-73.9548187,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1,Brooklyn
1125,Vl3ticJO_730wIi5L-gcRQ,Gregorys Coffee,4.430816798843313,16.0,1,1,1.0,40.70525,-74.00675,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1,Manhattan
1128,Lw044EfH1h3XhUhri3ExfA,BLACKBARN,6.555356891810665,16.0,1,1,3.0,40.7431,-73.9871,0,0,0,0,0,0,0,0,0,1,3.0,3.0,1,Manhattan
1132,gjJiJ5yHqiEe3sFn_v-5JA,C&B,5.616771097666572,20.25,1,1,2.0,40.7252271901335,-73.9816302970189,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
1134,iZeAlmKKvxnPu5oUKN-B3Q,Sweet Chick,6.762729506931879,16.0,1,1,2.0,40.67763,-73.97255,0,0,0,0,0,0,0,0,0,1,2.0,2.0,1,Brooklyn
1135,1YIwVc2Djh6FFFBbmtdUHw,Little Zelda,5.342334251964811,16.0,0,0,1.0,40.67376,-73.9569999,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1,Brooklyn
1138,b9Qd4jaxugk7Zo7LE_lLrg,OddFellows Ice Cream Co.,5.0106352940962555,16.0,1,1,2.0,40.70325596349647,-73.9924016193591,0,0,1,0,0,0,0,0,0,0,2.0,2.0,1,Brooklyn
1139,yUTsVnUME9zzrex1qmregw,Caffe Vita,5.351858133476067,20.25,1,1,2.0,40.7196523,-73.9884113,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
1140,drSJJWL7lsG8dSRYI--6wQ,NY Bagels & Cafe,5.556828061699537,16.0,1,1,1.0,40.743578,-73.973966,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1,Manhattan
1141,e5dtA_Kz2hX6KL1mhU-8dQ,Rabble Rise Doughnuts,6.295266001439646,16.0,1,1,2.0,40.818603,-74.211393,1,0,0,0,1,0,0,0,0,0,2.0,2.0,1,New Jersey
1143,Rs196agFk9VEW2mHrOwpvw,12 Corners,5.062595033026967,20.25,1,1,1.0,40.7180405,-73.9972076,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1,Manhattan
1145,teuwAtlOMQq7pEl1oQtXVg,Banh,5.407171771460119,20.25,1,1,2.0,40.80085,-73.96562,0,0,0,0,0,0,0,0,0,1,2.0,2.0,1,Manhattan
1147,xHBpwGzxxbC3vTahHWdABg,Perk Kafe,6.113682179832232,20.25,1,1,1.0,40.747764735907,-73.9770407671092,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1,Manhattan
1148,ciyRbCY5qALHxiTATPxP-A,Duck Donuts,4.634728988229636,20.25,1,1,2.0,40.95723632810349,-73.73760901368897,0,0,0,0,1,0,0,0,0,0,2.0,2.0,1,New Jersey
1150,V4kHBho4ZiNdbuztgn0LWQ,Cafe Grumpy,4.941642422609304,16.0,1,1,1.0,40.71512,-73.99015,1,0,0,1,0,0,0,0,0,0,1.0,1.0,1,Manhattan
1151,jUQUJP51MOJEjOXfyceq0w,Smorgasburg - Prospect Park,5.846438775057725,20.25,0,0,2.0,40.66642,-73.97535,0,0,0,0,0,0,0,0,0,1,2.0,2.0,1,Brooklyn
1152,m0RY0_NvlBIrRua3kHjFEw,Perk Kafe,4.941642422609304,20.25,1,1,2.0,40.7845401242991,-73.9471010863781,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
1154,v4X0_xdRmVDQ5qgyGAubHw,Pickler,5.934894195619588,16.0,0,0,2.0,40.7520790100098,-73.9721755981445,0,0,0,0,0,0,0,0,0,1,2.0,2.0,1,Manhattan
1156,asW_ljefQQam9zjc9ZQaMw,Oslo Coffee Roasters,5.6240175061873385,20.25,1,1,1.0,40.76914,-73.95372,0,0,0,1,0,0,0,0,0,0,1.0,1.0,1,Manhattan
1158,YqWIbTBOOnyIPJ67XbJfhg,Burly Coffee,4.77912349311153,20.25,1,1,1.0,40.6920973,-73.9427741,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1,Brooklyn
1159,pUMaj8PvI1--cSB7gMEhXA,Wafels & Dinges,5.2832037287379885,20.25,0,0,1.0,40.773826,-73.982199,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1,Manhattan
1160,86d1dsvm9dyARtaAQmjfUg,Rudy's Bakery and Cafe,5.5909869805108565,16.0,1,1,1.0,40.70071,-73.903748,1,1,0,1,0,0,0,0,0,0,1.0,1.0,1,Queens
1164,h6qbszNgXgjj9Lrb62m-9w,The Uncommons,6.049733455231958,16.0,1,1,1.0,40.72933,-73.99865,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1,Manhattan
